"id";"title";"slug";"acronym";"url";"organization";"organization_id";"owner";"owner_id";"description";"description_short";"frequency";"license";"temporal_coverage.start";"temporal_coverage.end";"spatial.granularity";"spatial.zones";"featured";"created_at";"last_modified";"tags";"archived";"resources_count";"main_resources_count";"resources_formats";"harvest.backend";"harvest.domain";"harvest.created_at";"harvest.modified_at";"harvest.remote_url";"quality_score";"metric.discussions";"metric.discussions_open";"metric.reuses";"metric.reuses_by_months";"metric.dataservices";"metric.followers";"metric.followers_by_months";"metric.views";"metric.resources_downloads"
 OFFICE DE TOURISME  DE SEMUR-EN-AUXOIS 600,00
39858871500027  OFFICE DE TOURISME  DE VITTEAUX 2 095,00
 OFFICE DE TOURISME DE  SAINT-JEAN-DE-LOSNE 1 495,00
 OFFICE DE TOURISME DE CHATILLON   2 980,00
 OFFICE DE TOURISME DU  CANTON RECEY S/OURCE 500,00
45334805400017  OFFICE DE TOURISME DU PAYS ALESIA    3 494,81
34204497100014  OFFICE DES SPORTS    250,00
 OFFICE DES SPORTS DU  CANTON DE SEURRE 400,00
 OFFICE DU SPORT BEAUNE  24 HEURES BEAUNOISES 750,00
40160532400011  OFFICE DU TOURISME PAYS  DE ST SEINE 1 817,34
 OFFICE INTERCOMMUNAL DES  SPORTS DU CANTON DE MIREBEAU 3 900,00
 OFFICE MUNICIPAL DES  PERSONNES AGEES 150,00
34075630300012  OFFICE MUNICIPAL DES  SPORTS VILLE CHENOVE 200,00
 OFFICE MUNICIPAL DES SPORTS NUITS S<T GEORGES 300,00
 OFFICE MUNICIPAL DU 3 ème AGE BEAUNE  400,00
 OFFICE MUNICIPAL SPORTS  CHATILLON SUR SEINE 2 143,21
 OFFICE TOURISME MIREBEAU    1 745,00
 OFFICE TOURISME SEURRE    200,00
 OLYMPIQUE COUTERNON    93,28
 OLYMPIQUE DE MERCEUIL    200,00
 OMNISPORTS  ARNETOISE 2 700,00
37859163500014  OMS OFFICE MUNICIPAL DES SPORTS SEMUR  1 450,00
18000701501777  ONACVG 21 OFFICE NATIONAL ANCIENS  COMBATTANT VICTIMES GUERRE 450,00
OPEP ""LES CHARMILLES"" 0,00 mise à dispostion d'un ensemble immobilier
38945394500021  OPERA D'ETE BOURGOGNE    20 000,00
30854876700059  ORGECO    500,00
30255912500042  PACT DE COTE D'OR - CDAH  PACT 144 169,59
 PANSEMOT    200,00
77568873204576  PARALYSES DE FRANCE  DELEGATION DE LA COT 47 150,00
 PARENTS ELEVES DE BLIGNY  LES-BEAUNE 180,00
44880822000017  PATRIMOINE EN MUSIQUE    2 000,00
40002987200019  PAYS DES 3 RIVIERES  ASSOCIATION COMMUNAUTAIRE 34 800,00 mise à dispostion d'un ensemble immobilier
49759251900019  PEDALE SEMUROISE    500,00
50075168000017  PEEP ASSO DEPTALE PARENT  ENSEIGNEMENT PUBLIC 1 000,00
 PERSEVERANTE    250,00
 PERSONIMAGES BOURGOGNE    400,00
45300750200017  PETANQUE DRAPEAU DIJON    1 976,49
 PHYSIQUE CLUB COLLEGE    250,00
48071096100016  PIERRES VIVANTES    4 000,00
44121913600013  POCHETTE SURPRISE    150,00
43870769700019  POLE D'ECONOMIE SOLIDAIR    2 500,00
 PONEY CLUB DE AUTROT  DAGAS Stéphanie 319,20
43233228600033  PORTE PLUME    250,00
 POUR LA PROMOTION DU  MARCHE AUX BESTIAUX 545,00
 POUR LE MAINTIEN D'ACTI  VITES EN MILIEU RURAL 80,00
49473022900015  PR CONNAISSANCE  ELECTRICITE/LUMIERE 300,00
43882724800016  PRET HONNEUR DEPT  DE COTE D'OR 122 500,00
22210001800019
